ignored_bits,iteration,run_time,solve_time,incorrect_bytes
0,0,4.296401262283325,6.175041198730469e-05,0
0,1,4.339117050170898,5.936622619628906e-05,0
0,2,4.3841047286987305,5.984306335449219e-05,0
0,3,4.352997541427612,6.008148193359375e-05,0
0,4,4.351583957672119,6.103515625e-05,0
0,5,4.471367359161377,6.651878356933594e-05,0
0,6,4.518878221511841,5.984306335449219e-05,0
0,7,4.546694755554199,6.0558319091796875e-05,0
0,8,4.5573718547821045,6.270408630371094e-05,0
0,9,4.645404577255249,6.246566772460938e-05,0
1,0,8.202258586883545,7.200241088867188e-05,0
1,1,8.309813976287842,7.104873657226562e-05,0
1,2,8.188683271408081,7.05718994140625e-05,0
1,3,8.405423641204834,8.702278137207031e-05,0
1,4,8.32348918914795,6.604194641113281e-05,0
1,5,8.47649884223938,6.532669067382812e-05,0
1,6,8.503704071044922,7.033348083496094e-05,0
1,7,8.30047607421875,7.462501525878906e-05,0
1,8,8.596480369567871,7.414817810058594e-05,0
1,9,8.349338293075562,7.43865966796875e-05,0
2,0,9.48176884651184,7.987022399902344e-05,0
2,1,9.543919801712036,6.937980651855469e-05,0
2,2,9.821492433547974,7.05718994140625e-05,0
2,3,9.78486442565918,7.700920104980469e-05,0
2,4,9.462823867797852,6.580352783203125e-05,0
2,5,9.644463062286377,7.581710815429688e-05,0
2,6,9.471164464950562,7.104873657226562e-05,0
2,7,9.62135362625122,7.009506225585938e-05,0
2,8,10.919729709625244,7.581710815429688e-05,0
2,9,10.865351915359497,7.843971252441406e-05,0
3,0,11.258944034576416,6.747245788574219e-05,0
3,1,11.369449853897095,7.414817810058594e-05,0
3,2,11.369280099868774,6.961822509765625e-05,0
3,3,11.488859415054321,7.414817810058594e-05,0
3,4,11.413565158843994,6.747245788574219e-05,0
3,5,11.580875396728516,6.866455078125e-05,0
3,6,11.68997597694397,8.225440979003906e-05,0
3,7,11.60136079788208,7.2479248046875e-05,0
3,8,11.587241172790527,7.224082946777344e-05,0
3,9,11.63156270980835,6.818771362304688e-05,0
4,0,12.79910397529602,7.867813110351562e-05,0
4,1,13.345211505889893,6.914138793945312e-05,0
4,2,15.869045495986938,6.818771362304688e-05,0
4,3,16.534265279769897,7.081031799316406e-05,0
4,4,16.306083917617798,6.985664367675781e-05,0
4,5,16.496678590774536,7.152557373046875e-05,0
4,6,16.82673406600952,6.771087646484375e-05,0
4,7,16.72495985031128,6.842613220214844e-05,0
4,8,16.06952714920044,6.556510925292969e-05,0
4,9,15.805118083953857,6.4849853515625e-05,0
5,0,18.685296297073364,6.246566772460938e-05,0
5,1,19.122610330581665,6.508827209472656e-05,0
5,2,18.93931484222412,6.389617919921875e-05,0
5,3,19.267773866653442,6.67572021484375e-05,0
5,4,19.14584970474243,6.556510925292969e-05,0
5,5,18.9910831451416,6.580352783203125e-05,0
5,6,19.40468430519104,6.413459777832031e-05,0
5,7,22.241713047027588,6.341934204101562e-05,0
5,8,26.782955169677734,7.081031799316406e-05,0
5,9,27.198593854904175,7.915496826171875e-05,0
6,0,44.94865083694458,6.556510925292969e-05,0
6,1,44.23454022407532,7.176399230957031e-05,0
6,2,43.90044093132019,6.389617919921875e-05,0
6,3,44.079063415527344,6.151199340820312e-05,0
6,4,46.37282347679138,6.651878356933594e-05,0
6,5,45.96515679359436,6.747245788574219e-05,0
6,6,45.29719638824463,6.389617919921875e-05,0
6,7,45.89395236968994,6.580352783203125e-05,0
6,8,47.1350257396698,6.628036499023438e-05,0
6,9,45.966012954711914,6.651878356933594e-05,0
7,0,63.79939389228821,7.748603820800781e-05,0
7,1,64.12569212913513,6.532669067382812e-05,0
7,2,86.37540912628174,6.508827209472656e-05,0
7,3,88.9059648513794,6.270408630371094e-05,0
7,4,89.33268332481384,6.4849853515625e-05,0
7,5,90.71609830856323,6.389617919921875e-05,0
7,6,90.89034533500671,6.628036499023438e-05,0
7,7,91.25747609138489,6.508827209472656e-05,0
7,8,90.30733728408813,6.4849853515625e-05,0
7,9,91.22994256019592,6.4849853515625e-05,0
8,0,177.18843984603882,6.413459777832031e-05,0
8,1,178.5449059009552,6.318092346191406e-05,0
8,2,179.2954466342926,6.437301635742188e-05,0
8,3,181.15027570724487,6.747245788574219e-05,0
8,4,183.57532453536987,6.508827209472656e-05,0
8,5,212.78207564353943,6.532669067382812e-05,0
8,6,249.86432528495789,6.961822509765625e-05,0
8,7,254.54078245162964,6.437301635742188e-05,0
8,8,251.57970237731934,6.461143493652344e-05,0
8,9,250.28069758415222,6.461143493652344e-05,0
9,0,247.2692370414734,6.389617919921875e-05,0
9,1,250.20295357704163,6.723403930664062e-05,0
9,2,252.7258324623108,6.580352783203125e-05,0
9,3,251.97176384925842,6.532669067382812e-05,0
9,4,253.01553916931152,6.532669067382812e-05,0
9,5,254.3078248500824,6.4849853515625e-05,0
9,6,255.3513524532318,6.508827209472656e-05,0
9,7,255.6682243347168,6.556510925292969e-05,0
9,8,255.5922954082489,6.437301635742188e-05,0
9,9,257.14112854003906,6.651878356933594e-05,0
10,0,258.1483726501465,6.651878356933594e-05,0
