keysize,iteration,run_time,solve_time,correct
1,0,0.07298636436462402,7.367134094238281e-05,1
1,1,0.06577205657958984,7.104873657226562e-05,1
1,2,0.06615209579467773,6.198883056640625e-05,1
1,3,0.06647372245788574,6.29425048828125e-05,1
1,4,0.06647396087646484,6.151199340820312e-05,1
1,5,0.0665140151977539,6.699562072753906e-05,1
1,6,0.06657838821411133,6.175041198730469e-05,1
1,7,0.06649303436279297,6.079673767089844e-05,1
1,8,0.06710052490234375,6.771087646484375e-05,1
1,9,0.0665585994720459,6.175041198730469e-05,1
2,0,0.1547393798828125,8.821487426757812e-05,1
2,1,0.0916595458984375,6.437301635742188e-05,1
2,2,0.09833240509033203,8.749961853027344e-05,1
2,3,0.09948039054870605,6.604194641113281e-05,1
2,4,0.09047818183898926,6.532669067382812e-05,1
2,5,0.10367202758789062,6.699562072753906e-05,1
2,6,0.09109377861022949,6.771087646484375e-05,1
2,7,0.09936285018920898,6.413459777832031e-05,1
2,8,0.1014547348022461,6.365776062011719e-05,1
2,9,0.1000359058380127,6.532669067382812e-05,1
4,0,0.15282201766967773,8.559226989746094e-05,1
4,1,0.1486344337463379,6.4849853515625e-05,1
4,2,0.15706133842468262,8.726119995117188e-05,1
4,3,0.1543290615081787,8.96453857421875e-05,1
4,4,0.16698503494262695,8.749961853027344e-05,1
4,5,0.1549379825592041,8.845329284667969e-05,1
4,6,0.15494203567504883,8.845329284667969e-05,1
4,7,0.15505504608154297,6.461143493652344e-05,1
4,8,0.15937328338623047,8.726119995117188e-05,1
4,9,0.16038227081298828,0.00018858909606933594,1
8,0,0.30341386795043945,9.179115295410156e-05,1
8,1,0.2882084846496582,8.869171142578125e-05,1
8,2,0.2579684257507324,8.726119995117188e-05,1
8,3,0.32215189933776855,9.846687316894531e-05,1
8,4,0.3799550533294678,8.893013000488281e-05,1
8,5,0.2593865394592285,8.749961853027344e-05,1
8,6,0.26806211471557617,0.0001919269561767578,1
8,7,0.2640531063079834,8.96453857421875e-05,1
8,8,0.29390907287597656,8.678436279296875e-05,1
8,9,0.2960240840911865,8.916854858398438e-05,1
16,0,0.5957317352294922,8.749961853027344e-05,1
16,1,0.5025990009307861,8.845329284667969e-05,1
16,2,0.5241379737854004,8.749961853027344e-05,1
16,3,0.5389847755432129,8.988380432128906e-05,1
16,4,0.49982714653015137,9.1552734375e-05,1
16,5,0.4750194549560547,8.821487426757812e-05,1
16,6,0.5121335983276367,8.940696716308594e-05,1
16,7,0.5191764831542969,8.606910705566406e-05,1
16,8,0.5139281749725342,8.58306884765625e-05,1
16,9,0.5079214572906494,8.749961853027344e-05,1
32,0,0.970299243927002,8.940696716308594e-05,1
32,1,1.2033236026763916,8.940696716308594e-05,1
32,2,1.0167591571807861,8.726119995117188e-05,1
32,3,1.1809077262878418,9.036064147949219e-05,1
32,4,1.029160976409912,8.630752563476562e-05,1
32,5,1.1704351902008057,8.821487426757812e-05,1
32,6,0.9626047611236572,8.749961853027344e-05,1
32,7,1.0594100952148438,8.940696716308594e-05,1
32,8,1.0050547122955322,8.606910705566406e-05,1
32,9,1.0432062149047852,8.702278137207031e-05,1
64,0,2.188462495803833,8.916854858398438e-05,1
64,1,2.13201642036438,8.940696716308594e-05,1
64,2,2.2417948246002197,8.845329284667969e-05,1
64,3,2.116079092025757,8.940696716308594e-05,1
64,4,2.0504913330078125,8.749961853027344e-05,1
64,5,2.224114179611206,9.298324584960938e-05,1
64,6,2.111276626586914,8.821487426757812e-05,1
64,7,2.190319776535034,8.845329284667969e-05,1
64,8,2.098160743713379,9.036064147949219e-05,1
64,9,2.0247480869293213,8.893013000488281e-05,1
128,0,4.565642356872559,9.322166442871094e-05,1
128,1,4.667995452880859,8.893013000488281e-05,1
128,2,4.850111484527588,9.1552734375e-05,1
128,3,4.648226737976074,8.940696716308594e-05,1
128,4,4.788038015365601,8.726119995117188e-05,1
128,5,4.681811571121216,8.845329284667969e-05,1
128,6,4.581446409225464,9.036064147949219e-05,1
128,7,4.849120616912842,9.059906005859375e-05,1
128,8,4.714818000793457,9.417533874511719e-05,1
128,9,4.7693116664886475,0.0002110004425048828,1
256,0,10.670561075210571,9.751319885253906e-05,1
256,1,10.85801386833191,9.775161743164062e-05,1
256,2,10.789747953414917,9.489059448242188e-05,1
256,3,11.174962759017944,9.918212890625e-05,1
256,4,11.016565561294556,9.655952453613281e-05,1
256,5,10.632877826690674,9.369850158691406e-05,1
256,6,10.572126388549805,9.369850158691406e-05,1
256,7,10.717690229415894,9.608268737792969e-05,1
256,8,10.958237171173096,9.584426879882812e-05,1
256,9,10.495545387268066,9.5367431640625e-05,1
