ignored_bits,iteration,run_time,solve_time,incorrect_bytes
0,0,38.97822022438049,0.005748748779296875,2
0,1,39.09845781326294,0.00593876838684082,2
0,2,39.22959303855896,0.005127668380737305,2
0,3,38.958173990249634,0.00504612922668457,2
0,4,39.44432234764099,0.005162477493286133,2
0,5,39.24184465408325,0.005149364471435547,2
0,6,38.936885356903076,0.0051784515380859375,2
0,7,39.309632539749146,0.005166053771972656,2
0,8,38.946890354156494,0.005262613296508789,2
0,9,39.16801643371582,0.005567073822021484,2
